selection_stage,selection_origin_idx,selection_origin_time,purge_hours,validation_mode,pool_origin_count,pool_validation_block_count,selection_role,candidate_b1_train_days,candidate_b1_half_life_days,candidate_L_obs_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,branch1_input_validation_ap,candidate_b2_train_days,candidate_b2_half_life_days,candidate_lambda,train_end_time,validation_start_time,validation_end_time,validation_block_count,validation_block_days,selected_b1_train_days,selected_b1_half_life_days,selected_b1_input_hours,selected_b1_input_weights,selected_b2_train_days,selected_b2_half_life_days,selected_L_train_days,selected_L_obs_hours,selected_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,val_pr_auc_b1_median,val_pr_auc_b2_median,prediction_disagreement,validation_positive_rate,latest_val_pr_auc,adst_action,adwin_triggered,adwin_loss_triggered,adwin_disagreement_triggered,adwin_prevalence_triggered,adwin_loss_raw_triggered,adwin_disagreement_raw_triggered,adwin_prevalence_raw_triggered,adwin_stable,adwin_stable_count,adwin_loss_state,adwin_disagreement_state,adwin_prevalence_state,adwin_last_batch_bin,adwin_feedback_batch_count,adwin_min_batches,adwin_consecutive_trigger_requirement,adwin_cooldown_cycles,previous_val_pr_auc,val_pr_auc_delta,candidate_count
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.20945285809598077,0.17227815937967814,0.14938570491183445,0.08697989478994704,0.1264932504439908,0.7135180247812455,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.20746044010943032,0.18704960249659677,0.15253906384779722,0.08262384639334218,0.11802852519899769,0.7094086148227058,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.19921914402002097,0.19405147299506467,0.15339834321120657,0.0728071165088796,0.11274521342734847,0.7052374081821623,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.1887601626747467,0.19767254352398922,0.15357254326093922,0.06142375058142626,0.10947254299788922,0.7016344927628344,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.17730843409319144,0.1997363299509983,0.1535439756210906,0.050517205372403305,0.1073516212911829,0.697700365537512,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.1680659833519813,0.19676914637810347,0.1513178153270085,0.044025196504535104,0.10586648427591352,0.6926933956526802,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.15987947075717016,0.17208276182628288,0.13841959624976602,0.04094538930699925,0.10475643067324916,0.6852697207004508,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18720,2023-07-20T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,3.0,all_1_6_24,0.19348434864188702,0.13835468057068,0.12650026082743976,0.09522300607328626,0.11464584108419948,0.6947176837354262,"{'1': 0.16043843104379077, '6': 0.1810852641183743, '24': 0.1761453754611205}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18720,2023-07-20T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,7.0,all_1_6_24,0.19041104818642549,0.13980385300633147,0.12900071060703178,0.08729412569218631,0.11819756820773206,0.6966454083610593,"{'1': 0.16561510516590128, '6': 0.18124630561424473, '24': 0.17215026304517686}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18720,2023-07-20T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,14.0,all_1_6_24,0.18846074373185187,0.14044466814539902,0.1295955007795297,0.08371799852696109,0.11874633341366038,0.6961300815535827,"{'1': 0.16660313524002315, '6': 0.18026565805985886, '24': 0.16991387309920725}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
