selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,selected_cascade_alpha,cascade_validation_pr_auc
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.24512489481317581,0.23506358087914656,0.17822044279848887,0.1053874105226785,0.1213773047178312,0.7518616164051074,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.23054848380177292,0.2102307847173005,0.16515580164346585,0.0995334541370508,0.12008081856963121,0.7485422035752163,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.22157118593686242,0.1915161762787721,0.15580076672865603,0.0974776371201865,0.12008535717853996,0.7472622457932762,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.2638983008228058,0.31997970336422427,0.21508483861427385,0.11000362093816644,0.11018997386432342,0.7314699329269706,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.24572174901878086,0.3001808687410018,0.20068421750297774,0.1032302324666951,0.10118756626495369,0.7036144092635226,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.23383012739542372,0.27111038714194796,0.1851146402657571,0.09836959062513859,0.09911889338956624,0.691583501730603,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.26138289262870806,0.3266319818383653,0.21563120240422265,0.11135775533591125,0.10463042297008002,0.72368941047843,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.23002015272554951,0.26288028405840663,0.17405467200994282,0.1073511200095929,0.08522905996147902,0.6661357197096277,,,,,,,,,,,,,,,,
branch1_proxy,development,19872.0,2023-07-24T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.21847708314836126,0.2278838233996923,0.15439952646051752,0.10868223316898455,0.08091522952134272,0.6465239060176108,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.32737775720114737,0.3721341996706188,0.2752378967629575,0.10814986101613815,0.17834159385529624,0.7910723231170028,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.30400371294525635,0.30874816943745,0.23876238044843268,0.10852743142726191,0.1687765914594154,0.7884247363291342,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.2817931151813433,0.2483165214776139,0.20641548074389515,0.1119555284766396,0.16451444001017637,0.7850653361276768,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.332276674631007,0.39678672122931957,0.2836418998183561,0.11517457640570573,0.1704970784073926,0.784438405938,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.3052540881371045,0.37022108801967263,0.26059098081790544,0.10955406540848478,0.15096087361613825,0.7630038207319311,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.28462847147431786,0.3276663067823591,0.23452630243125283,0.10394146570380745,0.14138629808014658,0.7477476171320125,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.329481295989732,0.3962240579972476,0.2813572716173177,0.11587966108178097,0.1664904852373878,0.7801939016752611,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2841705737302315,0.3177916649101846,0.22482284759943438,0.1131655388736576,0.13185403028868414,0.7378547366031748,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.25957104494493244,0.26816819151487953,0.1878587520207865,0.12076855258764155,0.10754931252669347,0.7015921016328468,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.240790970401221,0.24238931216296714,0.19409802575581675,0.07691008421888415,0.1458067393486664,0.707906062752183,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2358396604949218,0.24787832902901613,0.19440826417341947,0.07306950863896607,0.1409381993178228,0.7025271305428845,,,,,,,,,,,,,,,,
